District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
15,135,1984,35.5,20.575,280.5,73.25,1.425,3.7,6.62314814814815,63
16,360360,1984,36.4,21.6,416.75,75.25,1.8,3.625,6.625,34
17,4810,1984,36.2,21.675,461.5,74.75,1.2,4.925,5.975,35
1,3663,1985,36.125,24.25,164.25,85.25,1.725,4.925,6.925,4
2,71244,1985,37.05,23.175,196.5,72.25,1.725,3.2,7.425,20
3,9,1985,33.275,23.725,314.75,81.5,5.7,4.325,7.125,6
4,81295,1985,35.275,23.7,197.75,82,2.05,4.225,6.75,10
5,144651,1985,35.925,24.375,267.5,76.5,1.725,4.275,6.575,9
6,45695,1985,37,22.35,178.75,63.5,1.325,3.3,6.894,37
7,148180,1985,37.375,23.575,184,77.25,1.75,3.4,6.525,9
8,148118,1985,38.3,24.3,137.25,72.75,3.6,3.75,6.775,7
9,36909,1985,37.675,24.475,132.75,82.5,3.9,4.7,7.825,4
10,134746,1985,34.85,22.95,136.5,75.25,2.175,4.525,5.7,19
11,3569,1985,35.025,23.75,248,81,1.9,3.875,6.55,6
12,73677,1985,38.65,23.225,105.25,64.25,2.175,3.45,7.3,14
13,666,1985,35.325,24.925,161.75,86,2.8,4.525,5.625,3
14,93491,1985,39,22.75,124,70,2.65,3.175,7.625,20
15,289,1985,35.325,23.375,186.75,75.75,1.2,4.075,6.62314814814815,63
16,326481,1985,35.825,21.8,300.5,75.5,1.925,3.75,6.2,34
17,10757,1985,34.425,22.05,550,81.5,1.375,5.6,6.15,35
1,6229,1986,36.65,23.3,136,81.25,1.125,3.775,7.4,4
2,40771,1986,38.125,22.475,125.25,72.75,1.375,3.1,7.85,20
3,11,1986,35.35,23.325,285.5,76.75,4.5,3.525,7.45,6
4,103856,1986,35.65,22.35,160,79,1.6,3.25,6.75,10
5,122693,1986,37.875,23.425,191.25,72,1.35,3.95,7.925,9
6,58018,1986,38.15,21.425,111.5,62.5,1.475,3.175,6.894,37
7,152328,1986,37.25,22.525,160.25,74,2.1,2.925,7.15,9
8,117494,1986,39,23.175,141.75,71.5,3.375,3.475,6.925,7
9,32288,1986,38.075,23.1,159.5,79.5,1.975,3.725,7.2,4
10,111586,1986,35.675,22.425,220,71.25,2.575,4.05,6.225,19
11,2317,1986,35.625,23.05,292,79.5,1.525,3.525,7.1,6
12,36151,1986,40.425,22,68.5,69.25,3.25,3.35,7.175,14
13,834,1986,36,24.05,68.75,82,2.325,3.625,5.6,3
14,75616,1986,40.825,21.875,92,68.5,2.45,3,7.6,20
15,74,1986,36.9,22.35,164.5,70.75,1.1,3.45,6.62314814814815,63
16,297560,1986,37.025,20.55,189,73,1.875,3.525,6.575,34
17,6218,1986,35.675,20.425,260,73.5,1.7,4.475,6.45,35
1,8870,1987,37.725,23.7,132.25,81.5,1.2,4.125,7.3,4
2,24840,1987,38.075,23.15,166.25,73.75,1.4,3.575,7.375,20
3,53045,1987,34,23.85,235.5,78,4.425,3.625,7.025,6
4,20,1987,35.15,23.3,157.75,81,2,3.575,7.4,10
5,111195,1987,39.225,24.075,172,74,1.675,3.95,7.775,9
6,79960,1987,37.75,21.925,156,66.5,1.225,3.1,6.894,37
7,152745,1987,38.75,23.425,171,74.5,2.525,3.625,7.65,9
8,148285,1987,38.85,23.875,150.5,72.75,3.325,3.9,7.125,7
9,18155,1987,38.325,23.475,154.25,77,1.65,3.85,8.125,4
10,86415,1987,36.225,23.025,217,77.75,2.075,4.1,6.5,19
11,3060,1987,35.75,23.55,232.75,79.5,1.75,3.775,7.125,6
12,49160,1987,39.85,21.6,89.25,68.25,2.375,3.05,7.7,14
13,1230,1987,36.55,24.625,16.25,79.75,2,3.525,6,3
14,57700,1987,40.55,22.625,104.5,67.25,2.15,3.075,7.65,20
15,155,1987,35.3,22.825,260.25,76,0.925,3.3,6.475,63
16,260045,1987,36.975,21.825,195.25,79.75,1.925,3.775,7.275,34
