District,Area,YEAR,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Bright Sunshine,ALT
12,535450,1978,29.26666667,13.4666666666667,8,69,1,1.3,7.026436782,14
13,621120,1978,30.5,16.7333333333333,34.66666667,74.66666667,0.666666667,0.866666666666667,6.843678161,3
14,1061840,1978,28.7,14.7,23,72,1.233333333,0.833333333333333,7.446666667,20
16,1289800,1978,26.83333333,13.6,2.666666667,71.66666667,0.4,0.966666666666667,7.199047619,34
17,947345,1978,29.2,14.8,4,73.33333333,0.866666667,1.7,9.1,35
1,962920,1979,30.4,15.9333333333333,26,78.66666667,0.333333333,1.1,8.7,4
2,632710,1979,30.53333333,15.3666666666667,16.66666667,74.66666667,0.633333333,1.2,8.3,20
3,608535,1979,29.43333,17.26667,29.33333,73.33333,1.633333,1.266667,8.733333,6
4,914885,1979,29.8,15.7666666666667,12.66666667,77.33333333,0.666666667,0.933333333333333,7.241414141,10
5,696170,1979,29.3,15.7,36.33333333,73.66666667,0.333333333,1.26666666666667,7.733333333,9
6,850635,1979,27.56666667,12.8666666666667,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,660130,1979,29.3,16.6666666666667,25.33333333,75.66666667,0.2,1.03333333333333,7.313793103,9
8,645155,1979,30.16666667,15.5,20,71,0.966666667,1.56666666666667,7.6,7
9,977685,1979,30.66666667,18.1,10.33333333,74.33333333,0.333333333,0.966666666666667,7.49,4
11,776810,1979,30.16666667,17.2666666666667,28.66666667,70,0.6,1.4,7.306896552,6
12,517465,1979,30.76666667,14.1333333333333,18.66666667,72.66666667,0.566666667,1.4,7.026436782,14
13,659360,1979,29.03333333,17.5333333333333,30.66666667,77.33333333,0.6,0.933333333333333,6.843678161,3
14,1045610,1979,29.53333333,15.3,28.33333333,75.66666667,0.9,1.23333333333333,7.833333333,20
15,69010,1979,29.3,18.9333333333333,42.33333333,78.33333333,1.1,2.9,7.448148148,63
16,1341590,1979,27.43333333,14.2,15.33333333,76.66666667,0.366666667,0.966666666666667,7.766666667,34
17,1098550,1979,28.7,15.4333333333333,13,75.33333333,1,1.56666666666667,8.066666667,35
1,926545,1980,29.5,14.8333333333333,8,77.33333333,0.433333333,1.33333333333333,8.5,4
2,623220,1980,30,15.0333333333333,10.66666667,74.66666667,0.633333333,1.13333333333333,8.6,20
3,554020,1980,29.86667,16.6,8.333333,72,1.266667,1.366667,8.366667,6
4,915980,1980,29.7,14.3666666666667,6,74,0.6,1.1,7.367676768,10
5,655420,1980,29.46666667,15.3333333333333,3.333333333,69.66666667,0.3,1.56666666666667,7.9,9
6,884660,1980,27.63333333,13.0666666666667,10.33333333,74.66666667,1.2,1.46666666666667,6.554666667,37
7,686535,1980,29.13333333,15.5,10.66666667,74.33333333,0.4,1,7.313793103,9
8,668185,1980,30.63333333,14.3,2.666666667,68.66666667,0.933333333,1.7,7.466666667,7
9,989470,1980,29.56666667,15.1333333333333,8,77.33333333,0.9,1.4,7.49,4
11,747285,1980,31.2,16.4666666666667,37,71,0.033333333,1.16666666666667,7.306896552,6
12,533160,1980,28.53333333,14.2333333333333,10,72.33333333,0.7,1.43333333333333,7.026436782,14
13,685735,1980,29.03333333,16.7666666666667,27.33333333,75.66666667,1.2,1.76666666666667,6.843678161,3
14,1087435,1980,28.6,14.0333333333333,23.66666667,72.33333333,0.933333333,0.966666666666667,7.666666667,20
15,60425,1980,28.8,18.0333333333333,0.333333333,79.66666667,0.6,2.5,7.448148148,63
16,1395255,1980,28.03333333,14.3,6.666666667,75.33333333,0.433333333,1.36666666666667,9.066666667,34
17,1142490,1980,29.5,15.1666666666667,7,72,1,1.3,8.8,35
1,922570,1981,30.43333333,14.3333333333333,11,75.33333333,0.366666667,1.23333333333333,8.166666667,4
2,620545,1981,30.8,14,27.33333333,74,0.633333333,0.933333333333333,8.466666667,20
3,551645,1981,29.83333,16.6,2,72.33333,1.333333,1.3,8.1,6
4,912050,1981,30.56666667,13.9,9,72.33333333,0.433333333,0.8,8.1,10
5,652610,1981,30.73333333,14.6666666666667,14.66666667,68.66666667,0.333333333,1.2,7.766666667,9
