District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
41936,443880,1984,34.25,25.65,306,87.5,3.6,6.4,3.3,7
41947,73860,1984,33.75,26.05,393,89.5,3.7,7.3,3.8,4
41886,473915,1984,34.5,26,473,84.5,2.15,6.6,3.3,19
41953,281960,1984,34.65,24.9,1306.5,88,1.8,5.9,4.10862068965518,6
41907,369935,1984,35.75,25.85,284.5,83,2,6.1,4.63275862068966,14
41960,186595,1984,32.85,25.8,519.5,88.5,3,5.9,3.37413793103449,3
41895,520520,1984,34.35,25.6,307.5,88,2.85,6.2,4.2,20
41966,15500,1984,33.85,24.55,372.5,83.5,0.8,6.65,4.2462962962963,63
41859,841710,1984,34.9,25.8,594,86,1.85,6.15,4.4,34
41891,393100,1984,35.75,24.8,578,85,1.1,6.95,4.1,35
41950,478875,1985,34.75,25.6,299.5,91.5,1.5,6.75,4.25,4
41883,178675,1985,34.15,25.95,199.5,86.5,1.5,5.6,4.05,20
41978,160170,1985,32.95,24.7,650,85.5,6.5,6.15,4,6
41933,413310,1985,35,25.3,276.5,85,3.1,5.65,4.65,10
41923,282855,1985,34.5,26.25,289.5,84,1.5,6.3,5.1,9
41863,382540,1985,34.85,25.9,381,83,1.05,5.95,4.748,37
41929,560900,1985,33.75,25.85,215.5,86.5,2.15,4.95,4.5,9
41936,396590,1985,34.7,25.45,275.5,87.5,2.65,6.35,4.1,7
41947,83680,1985,34.35,26.05,252.5,87.5,3.3,6.75,3.9,4
41886,440630,1985,33.7,26.15,250.5,84,2.05,6.55,3.9,19
41953,314540,1985,33.45,24.8,664,87.5,1.95,5.9,4,6
41907,340350,1985,34.5,25.75,201,82.5,2.5,5.75,4.95,14
41960,207760,1985,33.9,25.9,319,88.5,2.2,6.45,3,3
41895,434905,1985,34.3,25.65,210,87.5,2.55,5.8,4.4,20
41966,14280,1985,34.2,24.4,467,85,1.1,6.3,4.2462962962963,63
41859,791700,1985,34.75,25.75,550.5,86.5,1.5,6.2,4.5,34
41891,417490,1985,34.7,24.7,526,86.5,1,6.85,4.1,35
41950,518090,1986,35.35,25.6,316.5,89,0.8,6.15,4.45,4
41883,188455,1986,35.15,25.65,335.5,87,1.15,5.45,4.7,20
41978,144595,1986,34,25.3,602.5,84,4.95,6.1,4.55,6
41933,429945,1986,35.5,25.35,316.5,85,2.05,5.3,4.65,10
41923,329715,1986,35.25,26.35,307,83.5,1.3,6.4,5.15,9
41863,315110,1986,35.25,25.95,414.5,81.5,1.1,5.6,4.748,37
41929,602530,1986,34.5,25.8,283,85.5,1.8,5,4.5,9
41936,532090,1986,35.2,24.9,271.5,86,2.8,5.85,4.35,7
41947,84365,1986,35.6,25.5,302.5,87,1.5,6.1,4,4
41886,430700,1986,34.9,26.2,494.5,82.5,2.55,6.65,3.85,19
41953,441345,1986,34.25,25.45,516,87,1.45,5.75,3.65,6
41907,262040,1986,34.9,25.2,285,86,2.95,5.75,4.4,14
41960,258005,1986,34.65,25.75,73.5,88,2.15,5.65,2.9,3
41895,384145,1986,34.75,25.9,250,85.5,2.5,6,5,20
41966,14250,1986,34.35,24.35,625.5,85,0.85,6.25,4.2462962962963,63
41859,615535,1986,35.3,25.55,390,85,1.45,6.05,4.5,34
41891,473830,1986,35.55,23.35,616,87.5,1.3,6.8,3.65,35
41950,576285,1987,33.9,25.4,625.5,92,0.9,6.7,2.7,4
41883,77900,1987,35.55,25.95,574,89,1.55,6,3.35,20
41978,170545,1987,33.85,25,939.5,87,5.85,6.65,4.5,6
41933,454210,1987,33.7,25.85,389.5,88,2.65,6.25,4.45,10
41923,283530,1987,34.4,26.45,494,86,1.7,6.35,4,9
41863,340840,1987,34.6,25.5,997,87,1.35,6.6,4.748,37
41929,649690,1987,33.65,26.05,380.5,87.5,2.55,6.3,4,9
41936,552800,1987,35.25,26.1,544.5,88.5,3,6.5,2.7,7
41947,102505,1987,35.9,25.6,507.5,88.5,1.7,6.6,3.6,4
41886,446685,1987,33.95,26.3,444.5,87,2.45,6.45,3.3,19
41953,358530,1987,33,25.4,1056.5,89.5,1.8,6.6,3.1,6
41907,206465,1987,35.15,25.75,528,86.5,2.15,5.95,4.2,14
41960,298585,1987,34.6,26.35,141,89,2.1,6.25,1.8,3
41895,295115,1987,36.1,25.7,444,89,2.2,6.3,3.5,20
41966,12320,1987,34.25,24.9,723,87.5,1,6.2,3.7,63
41859,576225,1987,34.45,25.9,909,89.5,2.05,6.4,3.6,34
41891,353015,1987,34.85,25,838,90,1.7,7.15,3.05,35
41909,193050,1987,33.3,25.9,375,87,3,6.4,4.15,10
41950,545415,1988,32.95,26.05,440.5,90.5,1.3,6.8,3.4,4
41883,57730,1988,34.85,26.25,333,87,1.6,6.35,3.35,20
41978,99944,1988,34,25.05,385,84,5,6.4,3.2,6
41933,356485,1988,34.55,25.75,419,87,3.55,6.35,3.6,10
41923,324355,1988,34.65,26.75,212,84.5,1.75,6.6,4.25,9
41863,314955,1988,35,25.95,624.5,85,0.9,5.85,4.748,37
41929,688820,1988,33.45,26.55,242,86,3.7,6.35,4.15,9
41936,517310,1988,34.25,26.3,282,87,3.3,6.6,3.35,7
41947,123975,1988,34.5,26.45,314,87.5,2.5,6.65,3.45,4
41886,411745,1988,34.4,26.45,498.5,87.5,2.15,6.6,3.2,19
41953,464220,1988,33.3,25.6,570.5,88,1.5,6.3,4,6
41907,197140,1988,33.3,26,239.5,88,2.1,6.25,4.3,14
41960,288825,1988,32.95,26.15,549,92,2.2,6.65,2.1,3
41895,386550,1988,34.1,25.9,330,87.5,2,6.3,3.95,20
41966,12495,1988,33.65,25.05,623,86,0.9,6,3.1,63
41859,489665,1988,35.15,26.15,542,88,1.85,6.4,3.55,34
41891,421555,1988,35.1,24.7,947.5,90,1.6,7.4,2.3,35
41909,202500,1988,34,26.5,295,86,2.55,5.95,3.7,10
41950,459060,1989,33.15,25.4,328,88.5,1.15,6,4.6,4
41883,40500,1989,35,25.95,352.5,85.5,1.65,5.6,4.85,20
41978,113005,1989,34.05,25.25,619.5,82.5,4.6,5.85,5.6,6
41933,309255,1989,34.25,25.5,204.5,86.5,1.8,5.5,5.6,10
41923,263270,1989,34.8,26.6,203,81.5,1.85,6,5.8,9
41863,215110,1989,35,25.65,322,85,1,5.45,5.1,37
41929,588790,1989,34.05,25.95,167.5,85.5,2.6,5.75,5.8,9
41936,380225,1989,34.15,26.05,171.5,85.5,2.9,6.25,5.3,7
41947,102320,1989,35.05,26.4,159.5,84.5,1.95,5.95,5.3,4
41886,328765,1989,34.3,26.15,491.5,86,1.15,6.05,4,19
41953,372485,1989,33.75,25.8,432.5,84.5,1.35,5.75,5.45,6
41907,145870,1989,34.5,25.4,357,86.5,1.9,5.45,5.05,14
41960,175200,1989,32.35,26.1,307,86.5,2.1,5.7,4.1,3
41895,359165,1989,35.7,25.45,237,87.5,1.7,5.9,5.2,20
41966,12595,1989,34.25,24.9,498,84.5,0.95,5.5,4.15,63
41859,356415,1989,34.7,26.1,414.5,86.5,2.05,5.8,5,34
41891,527020,1989,34.95,25.1,1003.5,86.5,1.1,6.65,4.1,35
41909,159440,1989,33.9,26.3,218,85.5,1.65,5.1,4.4,10
41950,440580,1990,33.25,25.5,378,89.5,1,6.25,4.45,4
41883,41730,1990,35,26.1,382,89,1.55,5.55,4.6,20
41978,119380,1990,33.8,25.25,576.5,85,3.2,6.65,5.45,6
41933,306800,1990,34.5,25.15,277.5,88.5,1.3,6.15,4.9,10
41923,224780,1990,34,26.45,397,85,1.6,6.2,4.95,9
41863,215360,1990,34.6,26.05,365,85,1.2,5.65,4.9,37
41929,497050,1990,34.1,25.8,275,86.5,2.45,5.9,5.2,9
41936,324580,1990,34.5,26.05,253,86.5,2.45,6.4,4.55,7
41947,92660,1990,34.75,26.25,321,87,1.3,6.05,4.35,4
41886,316070,1990,34.35,25.5,357,87.5,1.2,5.9,3.95,19
41953,293110,1990,32.75,25.9,636.5,87,1.05,5.75,4.35,6
41907,135160,1990,34.25,25.85,328.5,86,1.45,5.9,4.55,14
41960,196730,1990,33,25.85,411,88.5,1.65,6,3.1,3
41895,340160,1990,35.05,25.4,350,87,1.65,6.1,4.55,20
41966,13300,1990,34.1,24.6,384,84.5,0.9,5.75,4.4,63
41859,372690,1990,35,26.2,351,86.5,1.5,5.75,4.95,34
41891,479180,1990,35.25,25.25,665.5,86.5,1.1,6.6,3.9,35
41909,154140,1990,33.95,26.25,281.5,85,1.4,5.45,4.5,10
41950,437330,1991,34.4,25.5,362.5,88.5,1.35,6.6,4.05,4
41883,19210,1991,36.05,26.2,305.5,85.5,1.7,5.85,4.9,20
41978,109740,1991,34.8,25.6,587.5,86,4.2,6.7,5.05,6
41933,282430,1991,35.3,25.4,401.5,88,2.2,6.35,4.75,10
41923,188450,1991,35.6,26.55,331.5,84.5,1.9,6.35,4.95,9
41863,180670,1991,36.05,26.25,233,85.5,1.15,5.65,4.65,37
41929,420190,1991,34.4,25.95,246,87,2.65,5.85,5.1,9
41936,357200,1991,36,26.15,381.5,86.5,2.6,6.35,4.4,7
41947,86110,1991,35.15,26.5,294.5,86.5,2,5.95,4.2,4
41886,316670,1991,36.35,24.4,279.5,86,1.5,6.05,4.3,19
41953,275600,1991,34.6,26.15,567,87,1.45,5.9,3.75,6
